WP_284214956.1	587c45527b81ca66ea866170bcef94b7	222	PANTHER	PTHR10655	LYSOPHOSPHOLIPASE-RELATED	20	219	7.7E-21	T	22-04-2025	IPR050565	Acyl-protein thioesterase 1-2/Carboxylesterase-like	-	-
WP_284214956.1	587c45527b81ca66ea866170bcef94b7	222	Pfam	PF02230	Phospholipase/Carboxylesterase	22	214	7.0E-21	T	22-04-2025	IPR003140	Phospholipase/carboxylesterase/thioesterase	-	-
WP_284214956.1	587c45527b81ca66ea866170bcef94b7	222	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	13	215	2.2E-42	T	22-04-2025	IPR029058	Alpha/Beta hydrolase fold	-	-
WP_284214956.1	587c45527b81ca66ea866170bcef94b7	222	Gene3D	G3DSA:3.40.50.1820	alpha/beta hydrolase	2	220	2.0E-47	T	22-04-2025	IPR029058	Alpha/Beta hydrolase fold	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	CDD	cd07709	flavodiiron_proteins_MBL-fold	3	239	1.80246E-117	T	22-04-2025	-	-	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	ProSiteProfiles	PS50902	Flavodoxin-like domain profile.	247	386	20.642923	T	22-04-2025	IPR008254	Flavodoxin/nitric oxide synthase	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	SUPERFAMILY	SSF52218	Flavoproteins	245	387	1.41E-38	T	22-04-2025	IPR029039	Flavoprotein-like superfamily	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	SMART	SM00849	Lactamase_B_5a	32	220	2.4E-32	T	22-04-2025	IPR001279	Metallo-beta-lactamase	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	Pfam	PF19583	ODP family beta lactamase	33	221	2.1E-24	T	22-04-2025	IPR045761	ODP domain	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	PIRSF	PIRSF005243	ROO	1	389	2.6E-155	T	22-04-2025	IPR016440	Rubredoxin-oxygen oxidoreductase	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	Gene3D	G3DSA:3.60.15.10	-	1	240	4.0E-94	T	22-04-2025	IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	PANTHER	PTHR43717	ANAEROBIC NITRIC OXIDE REDUCTASE FLAVORUBREDOXIN	3	387	1.5E-154	T	22-04-2025	-	-	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	Pfam	PF00258	Flavodoxin	249	382	5.1E-14	T	22-04-2025	IPR008254	Flavodoxin/nitric oxide synthase	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	Gene3D	G3DSA:3.40.50.360	-	242	389	8.7E-43	T	22-04-2025	IPR029039	Flavoprotein-like superfamily	-	-
WP_423793076.1	9cec3aa53b7ff0d38da8241a2a9e56eb	389	SUPERFAMILY	SSF56281	Metallo-hydrolase/oxidoreductase	8	279	1.7E-50	T	22-04-2025	IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	-	-
KWU02721.1	c8d15e75e2698990fca26182b4a93500	353	SMART	SM00020	trypsin_2	45	295	1.7E-31	T	22-04-2025	IPR001254	Serine proteases, trypsin domain	-	-
KWU02721.1	c8d15e75e2698990fca26182b4a93500	353	ProSitePatterns	PS00134	Serine proteases, trypsin family, histidine active site.	91	96	-	T	22-04-2025	IPR018114	Serine proteases, trypsin family, histidine active site	-	-
KWU02721.1	c8d15e75e2698990fca26182b4a93500	353	PANTHER	PTHR24276	POLYSERASE-RELATED	18	302	7.9E-40	T	22-04-2025	IPR050430	Peptidase S1 family serine proteases	-	-
KWU02721.1	c8d15e75e2698990fca26182b4a93500	353	ProSiteProfiles	PS50240	Serine proteases, trypsin domain profile.	46	300	20.822947	T	22-04-2025	IPR001254	Serine proteases, trypsin domain	-	-
